student_id,name,gender,birthdate,grade_level,enrollment_date,school
S1049,Matthew Simmons,M,2013-07-05,7,2021-09-30,Washington Middle School
S1050,Anita Boyd,Non-binary,2010-08-06,6,2021-07-22,Roosevelt Middle School
S1051,Annette Carter,F,2014-04-25,7,2021-06-08,Roosevelt Middle School
S1052,Travis Barron,M,2014-04-11,7,2021-07-04,Roosevelt Middle School
S1053,Rebecca Martinez,Non-binary,2012-07-31,7,2020-10-25,Roosevelt Middle School
S1054,Sarah Montgomery,Non-binary,2011-01-23,6,2021-09-13,Washington Middle School
S1055,Julie Barnett,Non-binary,2011-08-17,8,2020-06-05,Roosevelt Middle School
S1056,Brandon Diaz,F,2012-04-20,7,2020-09-18,Lincoln Middle School
S1057,James Robinson,Non-binary,2013-05-02,8,2020-12-21,Roosevelt Middle School
S1058,Thomas Evans,M,2012-12-12,8,2021-03-02,Washington Middle School
S1059,Paul Dixon,F,2012-09-03,8,2022-02-22,Washington Middle School
S1060,Robert Phelps,Non-binary,2012-01-13,8,2022-05-21,Roosevelt Middle School
S1061,Kathleen Wright,M,2013-04-20,8,2021-06-12,Roosevelt Middle School
S1062,Karen Hendrix,M,2011-03-30,8,2020-06-20,Washington Middle School
S1063,Wanda Hanson DVM,Non-binary,2014-04-11,6,2021-09-01,Roosevelt Middle School
S1064,Loretta Barker,M,2014-03-19,6,2020-09-18,Roosevelt Middle School
S1065,Austin Rodgers,Non-binary,2012-05-10,6,2022-04-19,Lincoln Middle School
S1066,Jeremy Carney,Non-binary,2013-09-14,7,2021-09-08,Roosevelt Middle School
S1067,Nathan Harris,F,2010-06-26,6,2021-10-04,Roosevelt Middle School
S1068,Juan Armstrong,Non-binary,2013-02-21,8,2021-07-01,Washington Middle School
S1069,Craig Nelson,M,2013-02-26,7,2021-01-08,Lincoln Middle School
S1070,David Colon,Non-binary,2012-05-29,7,2021-01-12,Lincoln Middle School
S1071,Rhonda Harris,M,2012-04-03,6,2021-10-20,Roosevelt Middle School
S1072,Benjamin Hernandez,Non-binary,2012-04-27,8,2022-03-07,Roosevelt Middle School
S1073,Erika Smith,M,2011-02-12,6,2022-05-17,Lincoln Middle School
S1074,Maxwell Johnson,Non-binary,2010-06-20,7,2020-07-04,Roosevelt Middle School
S1075,Sarah Mitchell,Non-binary,2011-02-09,7,2020-12-01,Lincoln Middle School
S1076,Ms. Amber Bowers,M,2014-03-18,7,2020-07-31,Lincoln Middle School
S1077,Sharon Cox,F,2011-08-04,6,2022-03-17,Lincoln Middle School
S1078,James Collins,F,2012-06-10,7,2021-02-15,Lincoln Middle School
S1079,James Irwin,M,2010-09-23,7,2022-03-18,Roosevelt Middle School
S1080,Emily Buchanan,M,2011-03-04,8,2021-05-06,Lincoln Middle School
S1081,Anthony Hughes Jr.,Non-binary,2013-12-20,8,2021-11-30,Lincoln Middle School
S1082,Michael Shaw,Non-binary,2010-10-24,7,2021-02-28,Roosevelt Middle School
S1083,Brian Cooper,F,2010-10-17,8,2021-04-28,Roosevelt Middle School
S1084,Lauren Smith,M,2012-05-12,8,2021-09-07,Roosevelt Middle School
S1085,Jordan Medina,F,2013-04-04,8,2021-11-04,Lincoln Middle School
S1086,James Jones,M,2012-08-10,7,2021-10-25,Roosevelt Middle School
S1087,Laura Hines,Non-binary,2011-06-17,6,2020-12-02,Washington Middle School
S1088,John Thomas,F,2012-04-01,7,2021-03-03,Roosevelt Middle School
S1089,Gina Carter,F,2011-08-26,7,2020-11-21,Roosevelt Middle School
S1090,William Robinson,Non-binary,2012-11-04,7,2021-09-21,Washington Middle School
S1091,Cory Rodriguez,F,2012-10-14,6,2021-08-21,Washington Middle School
S1092,Ebony Russell,F,2014-01-19,6,2020-08-20,Roosevelt Middle School
S1093,Alicia Jenkins,F,2010-08-26,7,2021-10-28,Washington Middle School
S1094,Robert Baker,M,2010-08-27,6,2022-04-27,Lincoln Middle School
S1095,Ricardo Fitzpatrick,M,2013-09-19,8,2021-04-09,Washington Middle School
S1096,Andrea Dixon,Non-binary,2010-11-02,7,2020-09-12,Roosevelt Middle School
S1097,William Palmer,Non-binary,2012-04-26,7,2022-03-30,Lincoln Middle School
S1098,Frank Novak MD,M,2013-11-22,8,2021-01-03,Washington Middle School
S1099,Dennis Glover,M,2011-07-15,8,2021-07-11,Lincoln Middle School
S1100,William Buckley,F,2011-08-10,7,2021-09-28,Lincoln Middle School
S1101,Marcus Perry,F,2012-06-17,7,2022-02-14,Lincoln Middle School
S1102,Kimberly Mills,Non-binary,2011-08-14,7,2020-11-04,Roosevelt Middle School
S1103,Sarah Gay,M,2014-01-17,8,2022-05-26,Lincoln Middle School
S1104,Ashley Brown,F,2012-02-13,8,2021-04-15,Roosevelt Middle School
S1105,Bradley Weber,Non-binary,2014-03-26,7,2021-09-06,Lincoln Middle School
S1106,Danielle Salazar,Non-binary,2012-11-29,6,2021-09-22,Washington Middle School
S1107,Tonya Phillips,M,2014-05-23,7,2020-06-30,Washington Middle School
S1108,Timothy King,F,2012-06-20,8,2022-03-27,Lincoln Middle School
S1109,Sharon Fields,F,2012-08-16,8,2020-11-30,Lincoln Middle School
S1110,Jamie Morales,F,2011-03-31,6,2021-08-26,Lincoln Middle School
S1111,Cheryl Fitzpatrick,M,2012-02-12,7,2022-02-26,Roosevelt Middle School
S1112,Thomas Crosby,M,2012-11-01,7,2021-03-28,Roosevelt Middle School
S1113,Monique White,Non-binary,2013-10-17,8,2020-07-21,Roosevelt Middle School
S1114,Valerie Brown,M,2012-08-24,7,2021-09-22,Roosevelt Middle School
S1115,Pamela Cook,F,2011-06-14,6,2021-11-22,Lincoln Middle School
S1116,Isaac Ramirez,M,2013-04-12,8,2022-04-24,Washington Middle School
S1117,Brian Wheeler,M,2011-10-03,7,2022-01-27,Lincoln Middle School
S1118,Michelle Ortiz,Non-binary,2014-03-27,8,2021-03-18,Roosevelt Middle School
S1119,Matthew Reyes,Non-binary,2013-11-30,7,2021-05-20,Lincoln Middle School
S1120,Megan Moore,M,2012-07-07,8,2021-06-25,Washington Middle School
S1121,Marc Clark DDS,Non-binary,2013-07-10,8,2020-06-15,Roosevelt Middle School
S1122,Cory Goodwin,F,2011-01-09,6,2020-11-05,Roosevelt Middle School
S1123,Randy Ward,F,2011-08-14,7,2021-06-07,Lincoln Middle School
S1124,Dakota Willis,F,2012-01-13,8,2021-03-03,Washington Middle School
S1125,Gavin Atkins,Non-binary,2013-08-04,6,2020-12-11,Washington Middle School
S1126,Charles Long,F,2012-09-29,8,2021-06-14,Washington Middle School
S1127,Phillip Mckinney,M,2012-06-11,7,2020-10-26,Washington Middle School
S1128,Dawn Bailey,M,2013-07-22,7,2020-07-10,Lincoln Middle School
S1129,Mark Oconnor,Non-binary,2011-09-26,8,2020-12-11,Roosevelt Middle School
S1130,Alex Little,Non-binary,2014-04-23,6,2022-01-05,Washington Middle School
S1131,David Garcia,M,2011-06-04,8,2021-11-19,Roosevelt Middle School
S1132,Elizabeth Mitchell,Non-binary,2011-01-25,8,2021-05-26,Washington Middle School
S1133,Stephen James,F,2011-03-24,8,2022-05-15,Washington Middle School
S1134,Aaron Williams,M,2012-10-14,7,2021-03-31,Washington Middle School
S1135,Sharon Lee MD,F,2013-09-02,8,2020-10-27,Roosevelt Middle School
S1136,Trevor Wilson,F,2010-08-15,8,2020-12-29,Roosevelt Middle School
S1137,Joshua Scott,M,2010-08-07,7,2021-12-25,Washington Middle School
S1138,Gail Patterson,M,2012-08-20,6,2021-01-24,Lincoln Middle School
S1139,Danielle Ortiz,M,2013-10-25,8,2022-05-25,Lincoln Middle School
S1140,Penny Barajas,M,2011-10-20,7,2021-04-16,Roosevelt Middle School
S1141,Rhonda Owens,M,2014-01-27,8,2020-06-29,Roosevelt Middle School
S1142,James Simpson,Non-binary,2014-04-19,8,2021-02-28,Lincoln Middle School
S1143,Colton Short,F,2013-04-05,6,2021-08-16,Lincoln Middle School
S1144,Elizabeth Dalton,Non-binary,2011-08-25,6,2021-01-07,Roosevelt Middle School
S1145,Jonathan Johnson,Non-binary,2011-07-21,6,2021-11-17,Roosevelt Middle School
S1146,Jeffrey Nelson,F,2013-02-27,8,2022-01-13,Roosevelt Middle School
S1147,Kevin Owen,Non-binary,2012-03-24,6,2021-08-04,Roosevelt Middle School
S1148,Sarah Wilkerson,M,2013-05-18,7,2022-03-30,Lincoln Middle School
S1149,Timothy Moore,F,2013-08-19,6,2021-05-16,Roosevelt Middle School
S1150,Andrea Anderson MD,Non-binary,2012-12-16,7,2020-10-19,Washington Middle School
S1151,Michele Gordon,M,2012-10-04,8,2021-12-08,Lincoln Middle School
S1152,Jason Montgomery,Non-binary,2011-02-15,7,2021-02-13,Roosevelt Middle School
S1153,Larry Thomas,Non-binary,2014-05-24,6,2022-04-16,Lincoln Middle School
S1154,Holly Russell,F,2010-11-25,6,2021-05-23,Lincoln Middle School
S1155,Melissa Arnold,F,2012-02-09,8,2022-02-15,Roosevelt Middle School
S1156,Mark Kim,Non-binary,2011-07-29,6,2022-01-11,Lincoln Middle School
S1157,Emily Rich,F,2011-11-01,8,2021-12-03,Lincoln Middle School
S1158,Tina Hancock,F,2011-02-07,7,2020-06-12,Roosevelt Middle School
S1159,Bradley Mcbride,M,2010-10-13,8,2021-07-18,Washington Middle School
S1160,Cynthia Dalton,M,2013-03-06,6,2022-02-15,Washington Middle School
S1161,Rachel Williams,Non-binary,2011-05-22,7,2020-06-10,Roosevelt Middle School
S1162,Melinda Reynolds,Non-binary,2010-07-30,7,2021-11-11,Washington Middle School
S1163,Brittany Knapp,F,2011-05-11,8,2020-11-22,Washington Middle School
S1164,Jessica Hernandez,M,2014-04-12,7,2021-07-17,Roosevelt Middle School
S1165,Nicole Bryant,Non-binary,2012-09-26,6,2022-03-08,Washington Middle School
S1166,Nicholas Campos,F,2011-04-17,6,2021-07-31,Lincoln Middle School
S1167,Amy Washington,M,2012-09-14,6,2021-06-13,Roosevelt Middle School
S1168,Samuel Jones,M,2012-05-20,6,2020-10-24,Roosevelt Middle School
S1169,Cheryl Morris,F,2010-08-04,8,2021-06-24,Lincoln Middle School
S1170,Brandon Williams,Non-binary,2014-02-05,8,2021-02-26,Lincoln Middle School
S1171,Krista Patrick,F,2011-06-02,8,2021-07-13,Lincoln Middle School
S1172,Bonnie Sandoval,M,2012-11-12,8,2022-03-09,Lincoln Middle School
S1173,Jeffrey Young,F,2014-02-22,6,2021-08-04,Roosevelt Middle School
S1174,Kristi Escobar,F,2014-04-01,8,2021-08-03,Washington Middle School
S1175,Ryan Fleming,Non-binary,2010-10-10,8,2021-08-16,Roosevelt Middle School
S1176,Ashley Collins,F,2014-02-18,6,2021-02-14,Washington Middle School
S1177,Jeffrey Brooks,M,2011-01-08,7,2020-12-06,Washington Middle School
S1178,Brittney Brown,F,2012-04-21,6,2021-06-24,Washington Middle School
S1179,Sarah Cross,Non-binary,2011-07-02,7,2021-10-01,Lincoln Middle School
S1180,Kristie Castaneda,Non-binary,2012-09-19,7,2022-02-16,Lincoln Middle School
S1181,Tracy Sharp,Non-binary,2013-03-16,8,2021-05-28,Washington Middle School
S1182,Adam Marshall,M,2013-09-10,6,2021-11-15,Roosevelt Middle School
S1183,Larry Thompson,Non-binary,2012-01-05,8,2021-09-05,Lincoln Middle School
S1184,Curtis Carr,Non-binary,2014-01-19,8,2021-09-30,Roosevelt Middle School
S1185,Joseph Davis,M,2010-09-16,6,2020-06-19,Lincoln Middle School
S1186,David Olson,Non-binary,2010-12-28,6,2021-12-23,Lincoln Middle School
S1187,Amy Ayala,F,2011-09-26,6,2020-08-25,Roosevelt Middle School
S1188,Megan Riley,Non-binary,2011-01-31,7,2021-06-29,Roosevelt Middle School
S1189,John Scott,F,2013-08-07,7,2021-12-04,Lincoln Middle School
S1190,David Larson,M,2011-12-06,6,2021-01-18,Lincoln Middle School
S1191,Danny Parker,F,2011-03-12,8,2022-06-01,Lincoln Middle School
S1192,Patrick Mcdonald,F,2013-10-04,7,2021-10-29,Roosevelt Middle School
S1193,Jerry Novak MD,M,2012-11-21,7,2021-10-28,Roosevelt Middle School
S1194,Levi Yoder,F,2013-07-09,7,2021-08-04,Washington Middle School
S1195,Claire Myers,Non-binary,2012-06-09,8,2020-12-05,Lincoln Middle School
S1196,Walter Salazar,Non-binary,2014-01-19,7,2022-05-24,Washington Middle School
S1197,Phillip Owen,F,2014-05-19,7,2020-06-10,Washington Middle School
S1198,Elizabeth Henry,F,2013-02-06,7,2022-05-03,Washington Middle School
S1199,Derek Boone,M,2013-01-17,7,2021-06-19,Washington Middle School
